,PC1,PC2,PC3,PC4
FT00011,-0.4798142309889769,0.21682486523606742,-0.07227671650869738,-0.05274075517030397
FT00023,-0.45730281308407317,0.2710076477031393,-0.07881654913248488,-0.13972504256020082
FT00041,0.0015034997039880254,0.11449183015083654,0.095687182892025,0.0723730191483613
FT00042,-0.4064956240376288,0.15596394883073633,0.13153741835463972,-0.1945323439980204
FT00108,-0.02930782307931754,0.1988441795083516,0.2783568991929552,-0.35499804511140204
FT00134,-0.4511643530634353,0.3143132431683179,-0.26387603996351666,0.07293307002619422
FT00313,-0.47178861603833033,0.27617297866711393,-0.10337562468235995,-0.00993010313415377
FT00715,-0.5296106069080404,0.12320496318141065,-0.14152415837396526,-0.06153229639815584
FT00733,-0.4389720178338681,0.2198890368822261,-0.2449498242577006,0.0029965038044519423
FT00742,-0.5215969748578859,0.1130300508426468,0.004743513249594329,-0.04517176707794787
FT00757,-0.1643003988128255,0.16430731646557092,0.24090152225199774,-0.1947093857398938
drv_FT00011,-0.34087013873446825,-0.1871274187135916,0.21476486034372863,0.21278726540520249
drv_FT00023,-0.29726523152705253,-0.21025868593592678,0.20343233696441343,0.1205495604912937
drv_FT00041,-0.051598544156442126,-0.2119188060163239,-0.036593053437514005,0.10326658201697955
drv_FT00042,-0.3388265550761824,-0.24273354586556997,0.18805475279154757,0.08561865621890136
drv_FT00108,0.0790086625684353,-0.08761476961727606,0.41010404947853657,0.02336380035762707
drv_FT00134,-0.29356349099802526,-0.04380406479528654,0.11910151427521513,0.36670196897566076
drv_FT00313,-0.3253950225875513,-0.2626892656417581,8.124928438690754e-06,0.09721051026892288
drv_FT00715,-0.32687850032969357,-0.35636362488557677,0.02797791630846719,0.014125344075387847
drv_FT00733,-0.23037448507598718,-0.2810918773298177,-0.09234828760935235,0.11967913265457567
drv_FT00742,-0.3441760314142386,-0.2482339311782335,0.18647887369925698,0.16910183697778003
drv_FT00757,-0.2527125075191609,0.020086145791020686,0.3315427912922128,0.2037860247646956
sim_FT00011,0.05460053862820235,-0.25310943786921375,-0.11925470280490454,-0.1220384711036434
sim_FT00023,0.0890037035733855,-0.20100817569319435,-0.05685602059346638,-0.20047332417726543
sim_FT00041,0.10440729448794421,-0.18679858100351548,-0.18646133197023615,-0.1072644961828372
sim_FT00042,0.03696842909592346,-0.24434600380963306,-0.12466089874577618,-0.15972233763011748
sim_FT00108,0.2691937507306224,-0.14855613996831818,-0.08086249723921834,-0.1552264641555577
sim_FT00134,0.10646465779396115,-0.17456588340203147,-0.17786490214017986,-0.12051297047399576
sim_FT00313,0.05971105608340105,-0.2564907925712925,-0.1283986553328578,-0.11662093642935255
sim_FT00715,0.00014254035745485809,-0.2447194821985447,-0.15063418705926188,-0.14124235333906823
sim_FT00733,0.06018920186350892,-0.19380777679474198,-0.21794586551170533,-0.11013763164387386
sim_FT00742,0.06646420120411507,-0.2645090460468082,-0.08838995697837511,-0.12146933883976899
sim_FT00757,0.10858101168927349,-0.21679647973140254,-0.0752395241782412,-0.14069164843088316
fmt_FT00011,0.2753740326856229,0.05433859439806099,-0.00011703802203150391,-0.045329963546577784
fmt_FT00023,0.23467412295420995,0.1219775319482204,-0.10657743372363693,0.2557237148889182
fmt_FT00041,0.3100634026941242,0.06408150544801945,0.004691278835682845,0.017946498008649274
fmt_FT00042,0.11540529550796971,0.15774445951643573,-0.10799339241561896,0.1048119707642267
fmt_FT00108,0.35585981941679123,0.154830479832502,-0.0318813133614648,-0.07783510254819404
fmt_FT00134,-0.45439279894215545,0.31053047945557805,-0.2614979730740479,0.0672284929560734
fmt_FT00313,0.3330802934748577,0.16584032876685967,0.19721703712498814,-0.05696468817476854
fmt_FT00715,0.2607883088135279,0.12845447870356128,0.1942841846670263,-0.23802439566786926
fmt_FT00733,0.2524036306504478,0.041179301411322596,-0.036853016818501144,-0.06841268090707579
fmt_FT00742,0.2834144197780286,0.06869280168849357,0.1297302071979797,-0.11782547334020295
fmt_FT00757,0.02078927630576079,0.1458731689256197,0.32342970756517025,-0.288508545501244
donor_FT00011,0.30366198036645053,0.061476641221601507,-0.15833407358707835,0.09216697665479753
donor_FT00023,0.35473743120679024,0.10032889440016432,-0.0490415942607593,-0.04330961851371017
donor_FT00041,0.3328793726187725,0.04942156212306283,-0.0413241617198547,0.07013665990074018
donor_FT00042,0.34493010879952585,0.10358795731684653,-0.03282904614037831,0.20999791759033398
donor_FT00108,0.34794128535685986,0.10349559452317932,-0.023200865905571955,0.13245206334120108
donor_FT00134,0.35953236178795833,0.10041564782469702,-0.03483807872811046,0.12842481514616572
donor_FT00313,0.35541679134280213,0.09003712582541001,0.040449447036875516,0.10409528031055916
donor_FT00715,0.30615881906218223,0.034153278057841886,-0.051675611480112446,0.1969510770674142
donor_FT00733,0.34009850188960217,0.10614915097241837,0.02138839251999495,0.09588475022125331
donor_FT00742,0.34937133586955,0.1022007653685978,0.006573596148712561,0.19324381159636753
donor_FT00757,0.33358762670328723,0.06359783491212286,0.02603678863752214,0.15139287616334982
